City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kaabong,UG,2020-01-05 14:22:15,3.51,34.14,77.94,45,100,10.63
70,Hermanus,ZA,2020-01-05 14:22:15,-34.42,19.24,71.01,87,100,8.99
71,Ahipara,NZ,2020-01-05 14:22:16,-35.17,173.16,64.99,100,40,22.15
72,Port Blair,IN,2020-01-05 14:22:16,11.67,92.75,81.86,75,0,10.67
73,Colares,PT,2020-01-05 14:22:16,38.8,-9.45,59.0,58,0,6.93
74,Port Elizabeth,US,2020-01-05 14:22:16,39.31,-74.98,41.0,44,75,17.22
75,Candolim,IN,2020-01-05 14:22:17,15.52,73.76,78.8,57,32,2.24
76,Chokurdakh,RU,2020-01-05 14:22:17,70.62,147.9,-19.7,97,76,8.25
77,Maniitsoq,GL,2020-01-05 14:22:17,65.42,-52.9,15.24,75,100,9.82
78,Sao Filipe,CV,2020-01-05 14:22:17,14.9,-24.5,72.5,63,24,14.16
79,Hithadhoo,MV,2020-01-05 14:22:17,-0.6,73.08,84.07,73,95,13.33
80,Nemuro,JP,2020-01-05 14:22:18,43.32,145.57,24.94,66,49,23.47
81,Luderitz,NA,2020-01-05 14:22:18,-26.65,15.16,63.16,90,0,22.46
82,Mahebourg,MU,2020-01-05 14:22:18,-20.41,57.7,77.0,94,75,9.17
83,Avarua,CK,2020-01-05 14:19:18,-21.21,-159.78,75.2,94,100,3.36
84,Kasongo-Lunda,CD,2020-01-05 14:22:19,-6.48,16.82,80.11,70,100,2.57
85,Bria,CF,2020-01-05 14:22:19,6.54,21.99,94.69,18,0,4.14
86,Kaitangata,NZ,2020-01-05 14:22:19,-46.28,169.85,50.0,75,90,15.01
87,Mogadishu,SO,2020-01-05 14:22:20,2.04,45.34,84.2,66,40,13.87
88,Ambovombe,MG,2020-01-05 14:22:20,-25.18,46.09,77.94,71,0,21.18
89,Coihaique,CL,2020-01-05 14:22:20,-45.58,-72.07,53.6,62,75,9.46
90,Dikson,RU,2020-01-05 14:22:20,73.51,80.55,13.82,89,88,20.24
91,Grindavik,IS,2020-01-05 14:22:20,63.84,-22.43,37.4,86,75,28.86
92,Dudinka,RU,2020-01-05 14:22:21,69.41,86.18,19.4,92,90,29.08
93,Kodinsk,RU,2020-01-05 14:22:21,58.6,99.18,12.85,94,78,5.86
94,Havre-Saint-Pierre,CA,2020-01-05 14:22:22,50.23,-63.6,17.6,72,1,9.17
95,Primero De Enero,CU,2020-01-05 14:22:22,21.94,-78.43,75.2,78,75,14.99
96,Saint-Augustin,CA,2020-01-05 14:22:22,45.63,-73.98,25.0,62,90,13.87
