City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,Axim,GH,81.23,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
229,Padang,ID,79.11,overcast clouds,-0.95,100.35,Mercure Padang
231,Odweyne,SO,76.57,broken clouds,9.41,45.06,Eng Hiirey House
234,Moroni,KM,79.05,light rain,-11.7,43.26,Hotel les Arcades
235,Kavieng,PG,83.57,clear sky,-2.57,150.8,Nusa Island Retreat
237,Vung Tau,VN,83.57,overcast clouds,10.35,107.08,Seaside Resort
238,Carnarvon,AU,75.06,overcast clouds,-24.87,113.63,Hospitality Carnarvon
240,Nouakchott,MR,75.2,sand,18.09,-15.98,Hôtel Iman
241,Katiola,CI,82.4,few clouds,8.13,-5.1,Kakoumani
244,Ormara,PK,81.86,few clouds,25.21,64.64,
248,Pagudpud,PH,79.54,clear sky,18.56,120.79,JOHNRONALD BEACH RESORT
249,Santa Rosa,PH,82.4,few clouds,14.31,121.11,Hungry Soles Studios
251,Bengkulu,ID,76.19,light rain,-3.8,102.27,Grage Hotel Bengkulu
254,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
255,Sakakah,SA,71.6,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
256,Mawlaik,MM,76.12,clear sky,23.63,94.42,AKZ Guest House
257,Kisanga,TZ,71.47,scattered clouds,-7.44,37.7,
259,Faranah,GN,77.94,light rain,10.04,-10.74,Chez mon oncle
267,Mangaluru,IN,82.9,broken clouds,12.87,74.88,Goldfinch Hotel
269,Miramar,US,84.2,clear sky,25.99,-80.23,Stadium Hotel
270,Samarai,PG,80.58,overcast clouds,-10.62,150.67,Nuli Sapi
282,Amudat,UG,70.56,overcast clouds,1.95,34.95,Silent Night Hotel
283,Rantauprapat,ID,75.2,overcast clouds,2.1,99.83,Permata Land Hotel & Resort
290,Nuevo Progreso,MX,82.99,overcast clouds,23.17,-97.95,Balneario Rio el Paraiso
292,Gwadar,PK,83.46,overcast clouds,25.12,62.33,Sadaf Resort
294,Hurghada,EG,77.0,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
302,Pidsandawan,PH,76.3,overcast clouds,6.93,124.59,
305,Kyabe,TD,82.65,overcast clouds,9.45,18.94,
307,Daru,PG,80.26,light rain,-9.08,143.21,New century hotel
308,Honiara,SB,78.8,scattered clouds,-9.43,159.95,Heritage Park Hotel
309,Lake City,US,79.0,clear sky,30.19,-82.64,Ramada Limited Lake City
318,Kutum,SD,71.98,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
321,Namibe,AO,80.83,few clouds,-15.2,12.15,Chik-Chik Namibe
324,Tarija,BO,73.54,clear sky,-21.54,-64.73,Hostal Granny
325,Bubaque,GW,77.43,clear sky,11.28,-15.83,Casa Dora
333,Fare,PF,81.99,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
336,Luanda,AO,80.6,few clouds,-8.84,13.23,EPIC SANA Luanda
340,Kabinda,CD,70.45,scattered clouds,-6.13,24.48,Village Mianda Mutole
341,Sao Filipe,CV,74.77,overcast clouds,14.9,-24.5,Tortuga B&B
346,Ketchikan,US,75.2,clear sky,55.34,-131.65,Snows Cove Lodge
347,Sola,VU,80.24,few clouds,-13.88,167.55,Leumerus Bungalows
349,Natal,BR,80.6,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
353,Trinidad,BO,82.4,clear sky,-14.83,-64.9,Hotel Piesta
355,Wanning,CN,79.77,few clouds,18.8,110.4,Paradise Hotel
357,Marzuq,YE,78.48,scattered clouds,14.4,46.47,
359,Catuday,PH,82.4,broken clouds,16.29,119.81,
362,Loon,PH,80.6,few clouds,9.8,123.79,Ladressner's
372,Mongagua,BR,73.4,clear sky,-24.09,-46.62,Hostel Aloha Brasil
373,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
377,Mana,GF,79.43,overcast clouds,5.66,-53.78,LE SAMANA
381,Varzea Alegre,BR,73.56,scattered clouds,-5.35,-40.38,
385,Yafran,LY,82.0,overcast clouds,32.06,12.53,بيوت الشباب بيفرن
390,Luang Prabang,LA,75.11,overcast clouds,19.89,102.13,Villa Oasis
391,Arona,ES,71.01,few clouds,28.1,-16.68,Paradise Court
393,Umm Kaddadah,SD,84.24,broken clouds,13.6,26.69,
396,Auki,SB,81.86,broken clouds,-8.77,160.7,Auki Motel
412,Cockburn Town,TC,81.36,scattered clouds,21.46,-71.14,Osprey Beach Hotel
414,Popondetta,PG,75.69,overcast clouds,-8.75,148.25,Timos Transit House
415,North Bend,US,73.0,few clouds,43.41,-124.22,Red Lion Hotel Coos Bay
417,Maningrida,AU,73.27,clear sky,-12.07,134.27,Dhukurrdji Lodge
422,Vao,NC,72.32,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
426,Brownwood,US,75.2,clear sky,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
427,Pombas,CV,75.2,broken clouds,17.15,-25.02,POUSADA O RECANTO
431,Mapiripan,CO,81.43,light rain,2.89,-72.13,Monserrate
432,Sibu,MY,78.8,broken clouds,2.3,111.82,RH HOTEL (4 Star)
433,Kampong Thum,KH,83.89,overcast clouds,12.71,104.89,Sambor Village Hotel
440,Poya,NC,71.58,few clouds,-21.35,165.15,
442,Sinnamary,GF,79.45,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
445,Maragogi,BR,77.83,broken clouds,-9.01,-35.22,Hotel Praia Dourada
446,Salalah,OM,82.4,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
447,Naze,JP,71.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
448,Coari,BR,80.55,moderate rain,-4.08,-63.14,HOTEL ALEX FLAT
449,Itarema,BR,78.66,light rain,-2.92,-39.92,Windvillage
450,Gondanglegi,ID,74.44,light rain,-7.75,112.01,Gg. Munasir Homestay
453,Abu Dhabi,AE,84.2,clear sky,24.47,54.37,Beach Rotana
458,Trairi,BR,77.85,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
460,Nyaunglebin,MM,80.6,clear sky,17.95,96.73,Royal Motel
461,Waingapu,ID,76.23,broken clouds,-9.66,120.26,Pondok Wisata Elim
463,Lamu,KE,78.96,moderate rain,-2.27,40.9,Lamu House
465,Mtambile,TZ,81.3,light rain,-5.38,39.7,
467,Gazojak,TM,73.8,clear sky,41.19,61.4,
469,Hillsborough,US,71.01,few clouds,37.57,-122.38,Hyatt Regency San Francisco Airport
470,Pacific Grove,US,71.01,clear sky,36.62,-121.92,Lovers Point Inn
471,Miandrivazo,MG,73.98,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
476,Winslow,US,84.2,clear sky,35.02,-110.7,Best Western Plus Winslow Inn
480,Hong Gai,VN,82.4,few clouds,20.96,107.09,Hạ Long DC Hotel
481,Labuhan,ID,76.03,overcast clouds,-6.88,112.21,bador sepret
482,Andros Town,BS,78.8,broken clouds,24.7,-77.77,Hanks place
489,Harper,LR,80.11,moderate rain,4.38,-7.72,Cape View Guest House
490,Candelaria,PH,80.01,scattered clouds,13.93,121.42,Uma Verde Econature Farm
493,Yazd,IR,73.4,few clouds,31.9,54.37,Mozaffar Traditional Hotel
499,Meulaboh,ID,77.47,light rain,4.14,96.13,Kost Pria
501,Ixtapa,MX,84.2,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
502,Bonanza,NI,84.9,light rain,14.03,-84.59,Edificio Administrativo HEMCO
506,Hun,LY,78.24,broken clouds,29.13,15.95,Alrwasi Hotel
507,Pedasi,PA,84.0,scattered clouds,7.53,-80.03,Hotel Casa de Campo Pedasí
508,Freetown,SL,80.55,light rain,8.48,-13.23,The Country Lodge Hotel
511,Sabang,ID,79.0,light rain,5.89,95.32,Hotel Citra
525,Luba,GQ,82.92,light rain,3.46,8.55,
532,Isla Mujeres,MX,84.2,overcast clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
535,Belmonte,BR,75.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
537,Shivrajpur,IN,76.96,clear sky,22.42,73.65,श्री काला जी पालर
539,Puerto Vallarta,MX,84.2,scattered clouds,20.62,-105.23,Sunset Plaza Beach Resort & Spa
543,Najran,SA,80.6,clear sky,17.49,44.13,محمد هادي ال فطيح
549,Juba,SS,75.18,light rain,4.85,31.58,ROYAL PALACE HOTEL - JUBA
550,Hualmay,PE,71.15,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
